Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Gruppespil,Open,Group A,1,Single game,The Blocksmiths,Better late than never...,The Blocksmiths,15,6,,,,,,,,,Aske Hammar,Jeppe Norlyk Hansen,Jonatan Hauge Steffensen,Anders Aaen Springborg
Gruppespil,Open,Group A,1,Single game,Spikeghetti,Lobster Boys,Lobster Boys,20,21,,,,,,,,,Jakob G. Damgaard,Hjalte Knudsen,Malte Klinkby,Christian Brødsgaard
Gruppespil,Open,Group A,1,Single game,Möbelträger/Siemens,PocketMonsters,Möbelträger/Siemens,15,11,,,,,,,,,Andreas Christensen,Kasper Søvndal,Niklas Daugbjerg,Christian Hurley
Gruppespil,Open,Group B,1,Single game,Lyn Bjørnen,SPIKØS,Lyn Bjørnen,15,10,,,,,,,,,Asbjørn Ditlev,David Lyngbye,Daniel Henriksen,Sebastian  Dirchsen Nielsen
Gruppespil,Open,Group B,1,Single game,Mr. Swing Ping,SpikeTaculars,Mr. Swing Ping,15,6,,,,,,,,,Ingvi Örnolfsson,Peter Madsen,Christoffer Heide Farre,Mikael Kjems Byskov Andersen
Gruppespil,Open,Group B,1,Single game,Nøk,Rally Rookies,Rally Rookies,13,15,,,,,,,,,Marinus Andersen,André Pallesen,Jonas Kjældgaard Pedersen,Mikkel Dusi
Gruppespil,Open,Group A,2,Single game,The Blocksmiths,Lobster Boys,The Blocksmiths,15,9,,,,,,,,,Aske Hammar,Jeppe Norlyk Hansen,Malte Klinkby,Christian Brødsgaard
Gruppespil,Open,Group A,2,Single game,Spikeghetti,Möbelträger/Siemens,Möbelträger/Siemens,12,15,,,,,,,,,Jakob G. Damgaard,Hjalte Knudsen,Andreas Christensen,Kasper Søvndal
Gruppespil,Open,Group A,2,Single game,PocketMonsters,Better late than never...,PocketMonsters,15,10,,,,,,,,,Niklas Daugbjerg,Christian Hurley,Jonatan Hauge Steffensen,Anders Aaen Springborg
Gruppespil,Open,Group B,2,Single game,Lyn Bjørnen,SpikeTaculars,Lyn Bjørnen,15,9,,,,,,,,,Asbjørn Ditlev,David Lyngbye,Christoffer Heide Farre,Mikael Kjems Byskov Andersen
Gruppespil,Open,Group B,2,Single game,Mr. Swing Ping,Nøk,Mr. Swing Ping,15,6,,,,,,,,,Ingvi Örnolfsson,Peter Madsen,Marinus Andersen,André Pallesen
Gruppespil,Open,Group B,2,Single game,Rally Rookies,SPIKØS,SPIKØS,12,15,,,,,,,,,Jonas Kjældgaard Pedersen,Mikkel Dusi,Daniel Henriksen,Sebastian  Dirchsen Nielsen
Gruppespil,Open,Group A,3,Single game,The Blocksmiths,PocketMonsters,The Blocksmiths,15,3,,,,,,,,,Aske Hammar,Jeppe Norlyk Hansen,Niklas Daugbjerg,Christian Hurley
Gruppespil,Open,Group A,3,Single game,Spikeghetti,Better late than never...,Spikeghetti,15,10,,,,,,,,,Jakob G. Damgaard,Hjalte Knudsen,Jonatan Hauge Steffensen,Anders Aaen Springborg
Gruppespil,Open,Group A,3,Single game,Möbelträger/Siemens,Lobster Boys,Möbelträger/Siemens,15,10,,,,,,,,,Andreas Christensen,Kasper Søvndal,Malte Klinkby,Christian Brødsgaard
Gruppespil,Open,Group B,3,Single game,Lyn Bjørnen,Rally Rookies,Lyn Bjørnen,15,11,,,,,,,,,Asbjørn Ditlev,David Lyngbye,Jonas Kjældgaard Pedersen,Mikkel Dusi
Gruppespil,Open,Group B,3,Single game,Mr. Swing Ping,SPIKØS,SPIKØS,11,15,,,,,,,,,Ingvi Örnolfsson,Peter Madsen,Daniel Henriksen,Sebastian  Dirchsen Nielsen
Gruppespil,Open,Group B,3,Single game,Nøk,SpikeTaculars,SpikeTaculars,10,15,,,,,,,,,Marinus Andersen,André Pallesen,Christoffer Heide Farre,Mikael Kjems Byskov Andersen
Gruppespil,Open,Group A,4,Single game,The Blocksmiths,Möbelträger/Siemens,Möbelträger/Siemens,11,15,,,,,,,,,Aske Hammar,Jeppe Norlyk Hansen,Andreas Christensen,Kasper Søvndal
Gruppespil,Open,Group A,4,Single game,Spikeghetti,PocketMonsters,Spikeghetti,15,12,,,,,,,,,Jakob G. Damgaard,Hjalte Knudsen,Niklas Daugbjerg,Christian Hurley
Gruppespil,Open,Group A,4,Single game,Lobster Boys,Better late than never...,Lobster Boys,15,7,,,,,,,,,Malte Klinkby,Christian Brødsgaard,Jonatan Hauge Steffensen,Anders Aaen Springborg
Gruppespil,Open,Group B,4,Single game,Lyn Bjørnen,Nøk,Lyn Bjørnen,15,12,,,,,,,,,Asbjørn Ditlev,David Lyngbye,Marinus Andersen,André Pallesen
Gruppespil,Open,Group B,4,Single game,Mr. Swing Ping,Rally Rookies,Mr. Swing Ping,15,11,,,,,,,,,Ingvi Örnolfsson,Peter Madsen,Jonas Kjældgaard Pedersen,Mikkel Dusi
Gruppespil,Open,Group B,4,Single game,SpikeTaculars,SPIKØS,SPIKØS,6,15,,,,,,,,,Christoffer Heide Farre,Mikael Kjems Byskov Andersen,Daniel Henriksen,Sebastian  Dirchsen Nielsen
Gruppespil,Open,Group A,5,Single game,The Blocksmiths,Spikeghetti,The Blocksmiths,15,13,,,,,,,,,Aske Hammar,Jeppe Norlyk Hansen,Jakob G. Damgaard,Hjalte Knudsen
Gruppespil,Open,Group A,5,Single game,Möbelträger/Siemens,Better late than never...,Möbelträger/Siemens,15,9,,,,,,,,,Andreas Christensen,Kasper Søvndal,Jonatan Hauge Steffensen,Anders Aaen Springborg
