Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Bracket Stage,Open,Bracket A,Quarter-final,Best of 5,CB/Aske,Tømmermænd i Copen,CB/Aske,15,6,15,4,1,0,,,,,Christian Brødsgaard,Aske Hammar,Mads Overgaard Jensen,Magnus Selmer
Bracket Stage,Open,Bracket A,Quarter-final,Best of 5,Spildt mælk,Spikelæg,Spildt mælk,15,11,15,13,1,0,,,,,Asbjørn Ditlev,Jakob Blaaholm Nielsen,Jonas Jensen,Jonatan Hauge Steffensen
Bracket Stage,Open,Bracket A,Semi-final,Best of 3,Duracell Defense,Spildt mælk,Duracell Defense,14,16,15,9,15,10,,,,,Mathias Linnet,Jeppe Norlyk Hansen,Asbjørn Ditlev,Jakob Blaaholm Nielsen
Bracket Stage,Open,Bracket A,Semi-final,Best of 3,Too Tall for Contender,CB/Aske,Too Tall for Contender,15,13,15,11,,,,,,,Hjalte Knudsen,Søren Høy,Christian Brødsgaard,Aske Hammar
Bracket Stage,Open,Bracket A,Winners final,Best of 3,Duracell Defense,Too Tall for Contender,Too Tall for Contender,18,21,18,21,,,,,,,Mathias Linnet,Jeppe Norlyk Hansen,Hjalte Knudsen,Søren Høy
Bracket Stage,Open,Bracket A,Final,Single game,Too Tall for Contender,CB/Aske,Too Tall for Contender,2,0,,,,,,,,,Hjalte Knudsen,Søren Høy,Christian Brødsgaard,Aske Hammar
Bracket Stage,Open,Bracket A,Losers SF,Single game,CB/Aske,Spikelæg,CB/Aske,21,9,,,,,,,,,Christian Brødsgaard,Aske Hammar,Jonas Jensen,Jonatan Hauge Steffensen
Bracket Stage,Open,Bracket A,Losers SF,Single game,Spildt mælk,Tømmermænd i Copen,Spildt mælk,21,10,,,,,,,,,Asbjørn Ditlev,Jakob Blaaholm Nielsen,Mads Overgaard Jensen,Magnus Selmer
Bracket Stage,Open,Bracket A,Losers Minor Final,Single game,CB/Aske,Spildt mælk,CB/Aske,21,13,,,,,,,,,Christian Brødsgaard,Aske Hammar,Asbjørn Ditlev,Jakob Blaaholm Nielsen
Bracket Stage,Open,Bracket A,Losers Final,Single game,Duracell Defense,CB/Aske,CB/Aske,19,21,,,,,,,,,Mathias Linnet,Jeppe Norlyk Hansen,Christian Brødsgaard,Aske Hammar
Bracket Stage,Open,Bracket A,P5: Final,Single game,Spikelæg,Tømmermænd i Copen,Spikelæg,21,18,,,,,,,,,Jonas Jensen,Jonatan Hauge Steffensen,Mads Overgaard Jensen,Magnus Selmer
Bracket Stage,Open,Bracket B,Semi-final,Best of 3,Die Dänen,Spikenado,Die Dänen,15,11,15,8,,,,,,,Korbi Schelzig,Magnus Bredvig,Michael Halsted,Simon Larsen
Bracket Stage,Open,Bracket B,Semi-final,Best of 3,Lyngbye Brothers,Einspannier - Špalj,Lyngbye Brothers,15,8,16,14,,,,,,,Erik Lyngbye,David Lyngbye,Lasse Einspannier,RandomDEN Guy
Bracket Stage,Open,Bracket B,Winners final,Best of 3,Die Dänen,Lyngbye Brothers,Lyngbye Brothers,15,10,13,15,12,15,,,,,Korbi Schelzig,Magnus Bredvig,Erik Lyngbye,David Lyngbye
Bracket Stage,Open,Bracket B,Final,Best of 3,Lyngbye Brothers,Die Dänen,Lyngbye Brothers,15,13,17,15,,,,,,,Erik Lyngbye,David Lyngbye,Korbi Schelzig,Magnus Bredvig
Bracket Stage,Open,Bracket B,Losers Minor Final,Single game,Einspannier - Špalj,Spikenado,Einspannier - Špalj,15,8,,,,,,,,,Lasse Einspannier,RandomDEN Guy,Michael Halsted,Simon Larsen
Bracket Stage,Open,Bracket B,Losers Final,Single game,Die Dänen,Einspannier - Špalj,Die Dänen,2,0,,,,,,,,,Korbi Schelzig,Magnus Bredvig,Lasse Einspannier,RandomDEN Guy
Group Stage,Women's Intermediate,Group A,1,Single game,⚠️ 220 Energy,Team SPARK,⚠️ 220 Energy,21,13,,,,,,,,,Sabina Labonc,Beatrice Tărășilă,Ida Bjerregård,Paula Peñalver Sebastián
Group Stage,Women's Intermediate,Group A,1,Single game,Øst & Vest,Team Fynnergy,Øst & Vest,21,13,,,,,,,,,Maja Nielsen,Liv Sepstrup,Julie Fjordhave Frederiksen,Sandra Sejersen
