Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Group Stage,Open Pro,Group A,1,Single game,Triple X,Off Grid Grinders,Triple X,15,13,,,,,Laura Kunzelmann,Paul Siemer,,,Georg Seiffarth,Pascal Schlosser,,
Group Stage,Open Pro,Group A,1,Single game,Roundnet Palombie,Find the surname,Roundnet Palombie,15,13,,,,,Yanis Bouchemoua,Aymeric Sandoz,,,Roman Peter,Yannick Robert,,
Group Stage,Open Pro,Group B,1,Single game,NEM - Bazzani/Borsotti,Willy Wonka,NEM - Bazzani/Borsotti,15,14,,,,,Andrea Borsotti,Nicola Bazzani,,,Rasmus Prüfer,Emil Grönebaum,,
Group Stage,Open Pro,Group B,1,Single game,Smile,TWN - Peng / Chen,Smile,15,7,,,,,Gabriel Stoisser,Felix Millton,,,Oriol Gonzalez,Søren Høy,,
Group Stage,Open Pro,Group C,1,Single game,Pour sophie,OussaMaë,Pour sophie,15,10,,,,,Dorian Améziane,Louis Mareschal,,,Maëlig Potiau,Oussama Tchita,,
Group Stage,Open Pro,Group C,1,Single game,Pipino,BRRRAS,BRRRAS,3,15,,,,,Giacomo Merlin,riccardo mercadini,,,Lucas Alexandre Rohrbach,Mathias Felipe Rios Rohrbach,,
Group Stage,Open Pro,Group D,1,Single game,Zwaffle everyone,Anderle/Petersen,Zwaffle everyone,15,8,,,,,Robin Florinda,Levi Vandaele,,,Markus Anderle,Jan Petersen,,
Group Stage,Open Pro,Group D,1,Single game,Package E?,Leidenfrost/Perriraz,Leidenfrost/Perriraz,12,15,,,,,Erik Borja Forschner Mitre,Marcos Bermudez Muratel,,,Nicolas Perriraz,David Leidenfrost,,
Group Stage,Open Pro,Group E,1,Single game,Le Spiko de Familia,put ons,Le Spiko de Familia,15,7,,,,,Andreas Christensen,Kasper Søvndal,,,Dominik Moritz,Aleksandrs Juška,,
Group Stage,Open Pro,Group F,1,Single game,Misty Moonshot,Minor,Misty Moonshot,15,11,,,,,Théo Vanh Hemelryck,Pierre Lecrosnier,,,Max Jansson,Paul Halphen,,
Group Stage,Open Pro,Group G,1,Single game,nerds in disguise,TV Time,nerds in disguise,15,10,,,,,Stefan Handschmann,David Jindra,,,Frederik Theunis,Gauthier Vandamme,,
Group Stage,Open Pro,Group A,2,Single game,Triple X,Find the surname,Triple X,15,9,,,,,Laura Kunzelmann,Paul Siemer,,,Roman Peter,Yannick Robert,,
Group Stage,Open Pro,Group A,2,Single game,Roundnet Palombie,Off Grid Grinders,Off Grid Grinders,11,15,,,,,Yanis Bouchemoua,Aymeric Sandoz,,,Georg Seiffarth,Pascal Schlosser,,
