Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Group Stage,Open Pro,Group T  - BO1 21 HC 21,1,Single game,RCG Powerline,RCB Spikeleeks,RCG Powerline,21,17,,,,,Nelson Dziruni,Benjamin Bachler,,Carlo Engel,Luc Moor,
Group Stage,Open Pro,Group T  - BO1 21 HC 21,1,Single game,Never Cold🌡️,Pierre Feuille Victor,Never Cold🌡️,21,16,,,,,Jan Stachiewicz,Jaroslav Čabala,,Victor Cambois,Pierre Lecrosnier,
Group Stage,Open Pro,Group U - BO1 21 HC 21,1,Single game,Pour Combien ?,Stadtaffen,Pour Combien ?,21,19,,,,,Dorian Améziane,Robin Florinda,,Peer Kanis,Jonas klinger,
Group Stage,Open Pro,Group U - BO1 21 HC 21,1,Single game,Future Commando,Sayy no to GunZ,Sayy no to GunZ,17,21,,,,,Jakub Popluhar,Ondřej Čejka,,Maxwell Gunneson,Faisal Sayyed,
Group Stage,Open Pro,Group V - BO1 21 HC 21,1,Single game,Kandula/Visek,Erik/Marco,Kandula/Visek,21,16,,,,,Ravi Kandula,Jakub Víšek,,Marco Navío Ruiz,Erik Borja Forschner Mitre,
Group Stage,Open Pro,Group V - BO1 21 HC 21,1,Single game,Eisenträger/Siemer,RBZ Capri Sons,RBZ Capri Sons,19,21,,,,,Eisenträger Lukas,Paul Siemer,,Andrea Borsotti,riccardo mercadini,
Group Stage,Open Pro,Group W - BO1 21 HC 21,1,Single game,Hustling Brothers,Hokus Boom,Hustling Brothers,21,20,,,,,Levi Vandaele,Yosha Vandaele,,Matias Bermejo Pasetti,Cedric Widin,
Group Stage,Open Pro,Group W - BO1 21 HC 21,1,Single game,JulJan,Lacombe/Chapelière,Lacombe/Chapelière,15,21,,,,,Julian Krehle,Jan Umlauft,,Erwan Chapeliere,Hugo Lacombe,
Group Stage,Open Pro,Group T  - BO1 21 HC 21,2,Single game,RCG Powerline,Pierre Feuille Victor,RCG Powerline,21,19,,,,,Nelson Dziruni,Benjamin Bachler,,Victor Cambois,Pierre Lecrosnier,
Group Stage,Open Pro,Group T  - BO1 21 HC 21,2,Single game,Elbourne/Hatas,RCB Spikeleeks,Elbourne/Hatas,21,14,,,,,Mark Elbourne,Dominik Hataš,,Carlo Engel,Luc Moor,
Group Stage,Open Pro,Group U - BO1 21 HC 21,2,Single game,Pour Combien ?,Sayy no to GunZ,Pour Combien ?,21,14,,,,,Dorian Améziane,Robin Florinda,,Maxwell Gunneson,Faisal Sayyed,
Group Stage,Open Pro,Group U - BO1 21 HC 21,2,Single game,nerds in disguise,Stadtaffen,Stadtaffen,19,21,,,,,David Jindra,Stefan Handschmann,,Peer Kanis,Jonas klinger,
Group Stage,Open Pro,Group V - BO1 21 HC 21,2,Single game,Kandula/Visek,RBZ Capri Sons,Kandula/Visek,21,16,,,,,Ravi Kandula,Jakub Víšek,,Andrea Borsotti,riccardo mercadini,
Group Stage,Open Pro,Group V - BO1 21 HC 21,2,Single game,Curtain Call,Erik/Marco,Erik/Marco,17,21,,,,,Frederik Theunis,Marvin Rösinger,,Marco Navío Ruiz,Erik Borja Forschner Mitre,
