Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Group Stage,Open Contender,Group A,1,Single game,Robin's disciples,BEL - Theunis/Declercq,Robin's disciples,15,8,,,,,Levi Vandaele,Vincent Mathieu,,Bram Declercq,Frederik Theunis,RB Roundnet Belgium
Group Stage,Open Contender,Group A,1,Single game,Yezknedl,P'tits Loups,P'tits Loups,7,15,,,,,Fre Eskens,Benjamin Bachler,,Gilles Hublet,Gauthier Vandamme,
Group Stage,Open Contender,Group B,1,Single game,Here Aghent,Burger Kings,Here Aghent,15,6,,,,,Robin Florinda,Markus Anderle,,Jorn neyens,joeri vlassaks,
Group Stage,Open Contender,Group B,1,Single game,JuPikaï,Aach Daniel,JuPikaï,15,13,,,,,Pierre BUTTET,Julien Blanchard,,Dominik Moritz,Daniel Schimek,
Group Stage,Open Contender,Group C,1,Single game,Kero Kero Cigaro,Roundnet maestro's,Kero Kero Cigaro,15,14,,,,,Lei Decappelle,Pieter De Pauw,,Tomer Kedar,Micha Daling,
Group Stage,Open Contender,Group C,1,Single game,Rocket Power,Paulo Rico,Rocket Power,15,13,,,,,Adriaan Van Gerven,Stijn Van den Branden,,Paul Volle,Emeric Lemoine,
Group Stage,Open Contender,Group D,1,Single game,Poel/Van Eeckhaute,Dragonfoxes are pretty dope 🐉🦊,Dragonfoxes are pretty dope 🐉🦊,8,15,,,,,Guillaume Van Eeckhaute,Florian Poel,,wout thysens,Igor Jottrand,
Group Stage,Open Contender,Group D,1,Single game,Gilles leftovers,Uno Reverse,Uno Reverse,14,15,,,,,Maëlig Potiau,Hugo Lebeaupin,,Martijn Paes,Daan Paes,
Group Stage,Open Contender,Group A,2,Single game,Robin's disciples,P'tits Loups,Robin's disciples,15,8,,,,,Levi Vandaele,Vincent Mathieu,,Gilles Hublet,Gauthier Vandamme,
Group Stage,Open Contender,Group A,2,Single game,Yezknedl,BEL - Theunis/Declercq,BEL - Theunis/Declercq,13,15,,,,,Fre Eskens,Benjamin Bachler,,Bram Declercq,Frederik Theunis,RB Roundnet Belgium
Group Stage,Open Contender,Group B,2,Single game,Here Aghent,Aach Daniel,Here Aghent,15,11,,,,,Robin Florinda,Markus Anderle,,Dominik Moritz,Daniel Schimek,
Group Stage,Open Contender,Group B,2,Single game,JuPikaï,Burger Kings,JuPikaï,15,14,,,,,Pierre BUTTET,Julien Blanchard,,Jorn neyens,joeri vlassaks,
Group Stage,Open Contender,Group C,2,Single game,Kero Kero Cigaro,Paulo Rico,Paulo Rico,7,15,,,,,Lei Decappelle,Pieter De Pauw,,Paul Volle,Emeric Lemoine,
Group Stage,Open Contender,Group C,2,Single game,Rocket Power,Roundnet maestro's,Roundnet maestro's,14,15,,,,,Adriaan Van Gerven,Stijn Van den Branden,,Tomer Kedar,Micha Daling,
Group Stage,Open Contender,Group D,2,Single game,Poel/Van Eeckhaute,Uno Reverse,Poel/Van Eeckhaute,15,13,,,,,Guillaume Van Eeckhaute,Florian Poel,,Martijn Paes,Daan Paes,
