Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Group Stage,Open,Group A,1,Single game,Hustling Brothers,Boombox,Hustling Brothers,15,8,,,,,Levi Vandaele,Yosha Vandaele,,Gilles Verlee,Quinten Degrave,
Group Stage,Open,Group A,1,Single game,De kartonnen hamers,Brandende Put,Brandende Put,12,15,,,,,Tim van Herreweghe,Mathias Van der Linden,,Kenneth Put,Stijn Van den Branden,
Group Stage,Open,Group B,1,Single game,No Fly Bears,RCM Barbarians⚔️,No Fly Bears,15,7,,,,,Jorn neyens,Frederik Theunis,,Nicolas Manneback,Jake King,
Group Stage,Open,Group B,1,Single game,Buns 'n Roses,Boma Worst,Buns 'n Roses,15,12,,,,,Tuur Demaegdt,Jannes De Meyer,,Noah Bonine,Mathieu Vercruysse,
Group Stage,Open,Group C,1,Single game,Rob-In-N-W-Out,F&F,Rob-In-N-W-Out,15,4,,,,,Wout Geeraerts,Robin Florinda,,Freek Van de Casteele,Florian Tachelet,
Group Stage,Open,Group C,1,Single game,Fox Twins 🦊,Spike Jam,Fox Twins 🦊,15,8,,,,,Cesar Jottrand,Igor Jottrand,,Tuur De Brabander,Pieter-Jan Zwaan,
Group Stage,Open,Group D,1,Single game,Da KaNToNie,BBQ & the gang,Da KaNToNie,15,5,,,,,Pieter De Pauw,Lei Decappelle,,Dries Bourgeois,Bram Balcaen,
Group Stage,Open,Group D,1,Single game,Drache Talkers,Kiosk Vrienden,Kiosk Vrienden,12,15,,,,,Gilles Hublet,Emeric Lemoine,,Zeno Goethals,Xander De Bisschop,
Group Stage,Open,Group E,1,Single game,J-Lo,Super Swagger Combo,J-Lo,15,11,,,,,Lotte Verbeke,joeri vlassaks,,Keelan Savat,Ruben Blomme,
Group Stage,Open,Group E,1,Single game,Los Abuelos,2Guys1Spike,Los Abuelos,15,11,,,,,Jurre Baguet,Diëgo Lamonte,,Xander Fieuws,Rinus Dehertefelt,
Group Stage,Open,Group F,1,Single game,Babbel Boys,El Butrón,Babbel Boys,15,5,,,,,Markus Anderle,Fre Eskens,,Nand Buyst,Lukas Deleu,
Group Stage,Open,Group F,1,Single game,AK,Bère Seals,Bère Seals,10,15,,,,,Riet D'hoore,jana vandesijpe,,William Potigny,Bastiaan Dekeyzer,
Group Stage,Open,Group A,2,Single game,Hustling Brothers,Brandende Put,Hustling Brothers,15,10,,,,,Levi Vandaele,Yosha Vandaele,,Kenneth Put,Stijn Van den Branden,
Group Stage,Open,Group A,2,Single game,Seal with it,Boombox,Seal with it,15,11,,,,,Lars Croes,Bruno Lancksweerdt,,Gilles Verlee,Quinten Degrave,
Group Stage,Open,Group B,2,Single game,No Fly Bears,Boma Worst,No Fly Bears,15,5,,,,,Jorn neyens,Frederik Theunis,,Noah Bonine,Mathieu Vercruysse,
Group Stage,Open,Group B,2,Single game,99double0,RCM Barbarians⚔️,99double0,15,7,,,,,Bram Verschoote,Thomas Savat,,Nicolas Manneback,Jake King,
Group Stage,Open,Group C,2,Single game,Rob-In-N-W-Out,Spike Jam,Rob-In-N-W-Out,15,4,,,,,Wout Geeraerts,Robin Florinda,,Tuur De Brabander,Pieter-Jan Zwaan,
Group Stage,Open,Group C,2,Single game,Rocket Shot,F&F,F&F,10,15,,,,,Britt Vankemenade,Joni Neyens,,Freek Van de Casteele,Florian Tachelet,
Group Stage,Open,Group D,2,Single game,Da KaNToNie,Kiosk Vrienden,Da KaNToNie,15,7,,,,,Pieter De Pauw,Lei Decappelle,,Zeno Goethals,Xander De Bisschop,
Group Stage,Open,Group D,2,Single game,AmbiServerous,BBQ & the gang,AmbiServerous,15,12,,,,,Marie-Alexia Teisseyre,wout thysens,,Dries Bourgeois,Bram Balcaen,
Group Stage,Open,Group E,2,Single game,J-Lo,2Guys1Spike,J-Lo,15,9,,,,,Lotte Verbeke,joeri vlassaks,,Xander Fieuws,Rinus Dehertefelt,
Group Stage,Open,Group E,2,Single game,Los Abuelos,Super Swagger Combo,Los Abuelos,15,9,,,,,Jurre Baguet,Diëgo Lamonte,,Keelan Savat,Ruben Blomme,
Group Stage,Open,Group F,2,Single game,Babbel Boys,Bère Seals,Babbel Boys,15,9,,,,,Markus Anderle,Fre Eskens,,William Potigny,Bastiaan Dekeyzer,
Group Stage,Open,Group F,2,Single game,AK,El Butrón,AK,15,9,,,,,Riet D'hoore,jana vandesijpe,,Nand Buyst,Lukas Deleu,
Group Stage,Open,Group A,3,Single game,Hustling Brothers,Seal with it,Hustling Brothers,15,5,,,,,Levi Vandaele,Yosha Vandaele,,Lars Croes,Bruno Lancksweerdt,
Group Stage,Open,Group A,3,Single game,De kartonnen hamers,Boombox,De kartonnen hamers,15,3,,,,,Tim van Herreweghe,Mathias Van der Linden,,Gilles Verlee,Quinten Degrave,
