Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,STS Pro,Group A,1,Single game,Numb,Tilted,Numb,21,13,,,,,Kieran Rose,Paq Clifford,,Justin Barr,Will Picone,
Pool Play,STS Pro,Group A,1,Single game,Cold Sweep,Bot House,Cold Sweep,21,18,,,,,Maxime Prince,Vincent Mathieu,,West Peterson,Owen Lippman,
Pool Play,STS Pro,Group B,1,Single game,Eisenträger/Siemer,Bazzani/Borsotti,Eisenträger/Siemer,21,10,,,,,Paul Siemer,Eisenträger Lukas,,Andrea Borsotti,Nicola Bazzani,
Pool Play,STS Pro,Group B,1,Single game,Insystem,V⚡️RGA,V⚡️RGA,23,25,,,,,Etienne Cote,Blake Bosak,Blake Bosak,Dawson Morgan,Caleb Cummings,
Pool Play,STS Pro,Group C,1,Single game,Extra,foolish,foolish,13,21,,,,,Jé Gagnon,Emerson Dean,,Lucas Pruett,Sunny Gu,
Pool Play,STS Pro,Group C,1,Single game,Ultra Instinct,Kingdom Come,Ultra Instinct,21,17,,,,,Gabriel Finocchi,Thomas Hamilton,,Grant Klapwijk,Matthew Cole,
Pool Play,STS Pro,Group D,1,Single game,Zwaffle everyone,Degenerates,Degenerates,19,21,,,,,Levi Vandaele,Robin Florinda,,Jack coolbaugh,Thomas Hoffman,
Pool Play,STS Pro,Group D,1,Single game,TRP Spotless,J.A.R.V.I.S.,J.A.R.V.I.S.,17,21,,,,,Ryan Gross,Joe Bondi,,Connor Nelson,Josh Fragiacomo,
Pool Play,STS Pro,Group A,2,Single game,Numb,Bot House,Bot House,18,21,,,,,Kieran Rose,Paq Clifford,,West Peterson,Owen Lippman,
Pool Play,STS Pro,Group A,2,Single game,Cold Sweep,Tilted,Tilted,20,22,,,,,Maxime Prince,Vincent Mathieu,,Justin Barr,Will Picone,
Pool Play,STS Pro,Group B,2,Single game,Eisenträger/Siemer,V⚡️RGA,V⚡️RGA,18,21,,,,,Paul Siemer,Eisenträger Lukas,,Dawson Morgan,Caleb Cummings,
Pool Play,STS Pro,Group B,2,Single game,Insystem,Bazzani/Borsotti,Insystem,23,21,,,,,Etienne Cote,Blake Bosak,Blake Bosak,Andrea Borsotti,Nicola Bazzani,
Pool Play,STS Pro,Group C,2,Single game,Extra,Kingdom Come,Kingdom Come,18,21,,,,,Jé Gagnon,Emerson Dean,,Grant Klapwijk,Matthew Cole,
Pool Play,STS Pro,Group C,2,Single game,Ultra Instinct,foolish,foolish,17,21,,,,,Gabriel Finocchi,Thomas Hamilton,,Lucas Pruett,Sunny Gu,
Pool Play,STS Pro,Group D,2,Single game,Zwaffle everyone,J.A.R.V.I.S.,J.A.R.V.I.S.,18,21,,,,,Levi Vandaele,Robin Florinda,,Connor Nelson,Josh Fragiacomo,
Pool Play,STS Pro,Group D,2,Single game,TRP Spotless,Degenerates,TRP Spotless,21,12,,,,,Ryan Gross,Joe Bondi,,Jack coolbaugh,Thomas Hoffman,
Pool Play,STS Pro,Group A,3,Single game,Numb,Cold Sweep,Numb,21,14,,,,,Kieran Rose,Paq Clifford,,Maxime Prince,Vincent Mathieu,
Pool Play,STS Pro,Group A,3,Single game,Bot House,Tilted,Bot House,21,19,,,,,West Peterson,Owen Lippman,,Justin Barr,Will Picone,
Pool Play,STS Pro,Group B,3,Single game,Eisenträger/Siemer,Insystem,Eisenträger/Siemer,21,17,,,,,Paul Siemer,Eisenträger Lukas,,Etienne Cote,Blake Bosak,Blake Bosak
Pool Play,STS Pro,Group B,3,Single game,V⚡️RGA,Bazzani/Borsotti,V⚡️RGA,21,16,,,,,Dawson Morgan,Caleb Cummings,,Andrea Borsotti,Nicola Bazzani,
Pool Play,STS Pro,Group C,3,Single game,Extra,Ultra Instinct,Ultra Instinct,15,21,,,,,Jé Gagnon,Emerson Dean,,Gabriel Finocchi,Thomas Hamilton,
Pool Play,STS Pro,Group C,3,Single game,Kingdom Come,foolish,foolish,23,25,,,,,Grant Klapwijk,Matthew Cole,,Lucas Pruett,Sunny Gu,
Pool Play,STS Pro,Group D,3,Single game,Zwaffle everyone,TRP Spotless,TRP Spotless,19,21,,,,,Levi Vandaele,Robin Florinda,,Ryan Gross,Joe Bondi,
Pool Play,STS Pro,Group D,3,Single game,J.A.R.V.I.S.,Degenerates,J.A.R.V.I.S.,21,13,,,,,Connor Nelson,Josh Fragiacomo,,Jack coolbaugh,Thomas Hoffman,
Pool Play,STS Pro,Group A,4,Single game,Numb,Tilted,Numb,21,13,,,,,Kieran Rose,Paq Clifford,,Justin Barr,Will Picone,
Pool Play,STS Pro,Group A,4,Single game,Cold Sweep,Bot House,Cold Sweep,21,19,,,,,Maxime Prince,Vincent Mathieu,,West Peterson,Owen Lippman,
Pool Play,STS Pro,Group B,4,Single game,Eisenträger/Siemer,Bazzani/Borsotti,Eisenträger/Siemer,21,10,,,,,Paul Siemer,Eisenträger Lukas,,Andrea Borsotti,Nicola Bazzani,
Pool Play,STS Pro,Group B,4,Single game,Insystem,V⚡️RGA,Insystem,21,16,,,,,Etienne Cote,Blake Bosak,Blake Bosak,Dawson Morgan,Caleb Cummings,
Pool Play,STS Pro,Group C,4,Single game,Extra,foolish,Extra,21,18,,,,,Jé Gagnon,Emerson Dean,,Lucas Pruett,Sunny Gu,
Pool Play,STS Pro,Group C,4,Single game,Ultra Instinct,Kingdom Come,Ultra Instinct,21,12,,,,,Gabriel Finocchi,Thomas Hamilton,,Grant Klapwijk,Matthew Cole,
Pool Play,STS Pro,Group D,4,Single game,Zwaffle everyone,Degenerates,Zwaffle everyone,21,19,,,,,Levi Vandaele,Robin Florinda,,Jack coolbaugh,Thomas Hoffman,
Pool Play,STS Pro,Group D,4,Single game,TRP Spotless,J.A.R.V.I.S.,TRP Spotless,21,15,,,,,Ryan Gross,Joe Bondi,,Connor Nelson,Josh Fragiacomo,
Pool Play,STS Pro,Group A,5,Single game,Numb,Bot House,Numb,21,14,,,,,Kieran Rose,Paq Clifford,,West Peterson,Owen Lippman,
Pool Play,STS Pro,Group A,5,Single game,Cold Sweep,Tilted,Tilted,16,21,,,,,Maxime Prince,Vincent Mathieu,,Justin Barr,Will Picone,
Pool Play,STS Pro,Group B,5,Single game,Eisenträger/Siemer,V⚡️RGA,Eisenträger/Siemer,21,18,,,,,Paul Siemer,Eisenträger Lukas,,Dawson Morgan,Caleb Cummings,
Pool Play,STS Pro,Group B,5,Single game,Insystem,Bazzani/Borsotti,Insystem,21,13,,,,,Etienne Cote,Blake Bosak,Blake Bosak,Andrea Borsotti,Nicola Bazzani,
Pool Play,STS Pro,Group C,5,Single game,Extra,Kingdom Come,Extra,21,19,,,,,Jé Gagnon,Emerson Dean,,Grant Klapwijk,Matthew Cole,
