Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Open Pro,Pool A,1,Single game,Judgment Day,Morgan/Mowry,Judgment Day,21,16,,,,,fredric hinkle,Gabriel Finocchi,,Dawson Morgan,Luke Mowry,
Pool Play,Open Pro,Pool A,1,Single game,Bad Combo,TRP Mermaid Sparkle,Bad Combo,21,17,,,,,Rahul Murthy,Will Picone,,Noah Luskus,Christian Bennett,
Pool Play,Open Pro,Pool B,1,Single game,Assistive Touch,Cigar Boys,Assistive Touch,21,17,,,,,Clark Marshall,Buddy Hammon,,Grant Laughlin,Dan Abrams,
Pool Play,Open Pro,Pool B,1,Single game,TRP Spotless,Insystem,Insystem,18,21,,,,,Joe Bondi,Ryan Gross,,Blake Bosak,Etienne Cote,
Pool Play,Open Pro,Pool C,1,Single game,TRP Moneyline,Lanky and Clanky,TRP Moneyline,21,13,,,,,Ryder Rivadeneyra,Matthew Cole,,Grant Gouger,Jesse Lehn,
Pool Play,Open Pro,Pool C,1,Single game,Edgerunners,here to slay,here to slay,17,21,,,,,Chase Meyer,Clifton Miller,,Dax O'Hair,bradley thompson,
Pool Play,Open Pro,Pool D,1,Single game,Not.Ok,Moon Boys,Not.Ok,21,19,,,,,Xande Plaisted,Anthony Clifford,,Jordan Freitas,Conner Bradshaw,
Pool Play,Open Pro,Pool D,1,Single game,Native Texans,Hot‘n‘cold,Hot‘n‘cold,19,21,,,,,Dylan Bricker,Grayson M  Wills,,Trent Alderfer,Cody Brower,
Pool Play,Open Pro,Pool E,1,Single game,Quality Service,Teenage Dirtbags,Quality Service,21,18,,,,,Jacob Payer,Andrew Kosche,,Taylor Sanford,Kannon Forbush,
Pool Play,Open Pro,Pool E,1,Single game,NK.,BenDu Over,BenDu Over,13,21,,,,,kevin um,Nick Wideman,,Michael Du,Benjamin Banuelos,
Pool Play,Open Pro,Pool F,1,Single game,WySpike Synergy,Burqueños,WySpike Synergy,21,10,,,,,Matthew Burrows,Nick Noguez,,Luke Freimanis,Daniel Blodgett,
Pool Play,Open Pro,Pool F,1,Single game,Ball Blasters,Dialed,Dialed,16,21,,,,,David Gonzales,Rendall Weaver,,Luke Pennington,Josh Cain,
Pool Play,Open Pro,Pool G,1,Single game,Profit Boost,Last Place,Profit Boost,21,17,,,,,Justin Shaytar,Kieran Rose,,Ben Arauzo,Zayne Shields,
Pool Play,Open Pro,Pool G,1,Single game,Jersey Boyz,Goblin giant,Goblin giant,18,21,,,,,Corey Weiss,Matt Spolarich,,Kyan Kornfeld,Nickhil Anantha,
Pool Play,Open Pro,Pool H,1,Single game,Lazy,Charlie and the Chocolate Factory,Lazy,21,13,,,,,Luke Marshall,Cade Larson,,David Mitchell,Charlie Camarena,
Pool Play,Open Pro,Pool H,1,Single game,Sawtooth Spikers,Royal Flush,Royal Flush,17,21,,,,,Thomas Maloney,Dennis Joseph,,Bryant Karratti,Jake LeBaron,
Pool Play,Open Pro,Pool I,1,Single game,DEPRE,HAPE,DEPRE,21,18,,,,,Taylor Church,Garrett Carver,,Jalen Butkus,John Hickmott,
Pool Play,Open Pro,Pool I,1,Single game,Big Dawgs,Hit Ball Hard,Big Dawgs,21,17,,,,,Caleb Cummings,Tyler Fernandez,,Adam Porter,Garrett Ashton,
Pool Play,Open Pro,Pool J,1,Single game,Chelsea United,Couldn't Carry less,Chelsea United,21,16,,,,,Josh Fragiacomo,Ethan Zehr,,Slade Warner,Arrow Griner,
Pool Play,Open Pro,Pool J,1,Single game,BorderLine,Disordered,Disordered,18,21,,,,,Kaleb Wagner,Trey Thompson,,Solomon Berry,Andrew Greer,
Pool Play,Open Pro,Pool A,2,Single game,Judgment Day,TRP Mermaid Sparkle,Judgment Day,21,19,,,,,fredric hinkle,Gabriel Finocchi,,Noah Luskus,Christian Bennett,
Pool Play,Open Pro,Pool A,2,Single game,Bad Combo,Morgan/Mowry,Morgan/Mowry,16,21,,,,,Rahul Murthy,Will Picone,,Dawson Morgan,Luke Mowry,
Pool Play,Open Pro,Pool B,2,Single game,Assistive Touch,Insystem,Insystem,14,21,,,,,Clark Marshall,Buddy Hammon,,Blake Bosak,Etienne Cote,
Pool Play,Open Pro,Pool B,2,Single game,TRP Spotless,Cigar Boys,TRP Spotless,21,19,,,,,Joe Bondi,Ryan Gross,,Grant Laughlin,Dan Abrams,
Pool Play,Open Pro,Pool C,2,Single game,TRP Moneyline,here to slay,TRP Moneyline,21,11,,,,,Ryder Rivadeneyra,Matthew Cole,,Dax O'Hair,bradley thompson,
Pool Play,Open Pro,Pool C,2,Single game,Edgerunners,Lanky and Clanky,Edgerunners,23,21,,,,,Chase Meyer,Clifton Miller,,Grant Gouger,Jesse Lehn,
Pool Play,Open Pro,Pool D,2,Single game,Not.Ok,Hot‘n‘cold,Not.Ok,21,13,,,,,Xande Plaisted,Anthony Clifford,,Trent Alderfer,Cody Brower,
Pool Play,Open Pro,Pool D,2,Single game,Native Texans,Moon Boys,Native Texans,21,18,,,,,Dylan Bricker,Grayson M  Wills,,Jordan Freitas,Conner Bradshaw,
Pool Play,Open Pro,Pool E,2,Single game,Quality Service,BenDu Over,Quality Service,22,20,,,,,Jacob Payer,Andrew Kosche,,Michael Du,Benjamin Banuelos,
Pool Play,Open Pro,Pool E,2,Single game,NK.,Teenage Dirtbags,NK.,21,16,,,,,kevin um,Nick Wideman,,Taylor Sanford,Kannon Forbush,
Pool Play,Open Pro,Pool F,2,Single game,WySpike Synergy,Dialed,Dialed,20,22,,,,,Matthew Burrows,Nick Noguez,,Luke Pennington,Josh Cain,
