Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Group Stage,Open Pro,Group A,1,Single game,Numb,Bang Bros Inc.,Numb,15,9,,,,,,,,,Paq Clifford,Kieran Rose,,,Kyle Fowler,Adam Porter,,
Group Stage,Open Pro,Group A,1,Single game,foolish,On the Nose,On the Nose,11,15,,,,,,,,,Sunny Gu,Lucas Pruett,,,Justin Barr,Dan Abrams,,
Group Stage,Open Pro,Group B,1,Single game,Kingdom Come,Incognito,Kingdom Come,15,6,,,,,,,,,Grant Klapwijk,Matthew Cole,,,Joseph Kaylor,Michael Du,,
Group Stage,Open Pro,Group B,1,Single game,Extra,Degenerates,Extra,15,10,,,,,,,,,Emerson Dean,Jé Gagnon,,,Thomas Hoffman,Jack coolbaugh,,
Group Stage,Open Pro,Group C,1,Single game,J.A.R.V.I.S.,minus aura,J.A.R.V.I.S.,15,8,,,,,,,,,Josh Fragiacomo,Connor Nelson,,,Nathan Robertt,Josh Hutko,,
Group Stage,Open Pro,Group C,1,Single game,Double Clutch,hotballers,Double Clutch,15,8,,,,,,,,,Rahul Murthy,fredric hinkle,,,Tyler Babin,Joshua Hachey,,
Group Stage,Open Pro,Group D,1,Single game,V⚡️RGA,Shaytar/Wideman,V⚡️RGA,15,12,,,,,,,,,Caleb Cummings,Dawson Morgan,,,Justin Shaytar,Nick Wideman,,
Group Stage,Open Pro,Group D,1,Single game,Bot House,FTR Frontier,Bot House,17,15,,,,,,,,,West Peterson,Owen Lippman,,,Jake Woolley,Kyan Kornfeld,,
Group Stage,Open Pro,Group A,2,Single game,Numb,On the Nose,Numb,15,9,,,,,,,,,Paq Clifford,Kieran Rose,,,Justin Barr,Dan Abrams,,
Group Stage,Open Pro,Group A,2,Single game,foolish,Bang Bros Inc.,Bang Bros Inc.,14,16,,,,,,,,,Sunny Gu,Lucas Pruett,,,Kyle Fowler,Adam Porter,,
Group Stage,Open Pro,Group B,2,Single game,Kingdom Come,Degenerates,Kingdom Come,15,8,,,,,,,,,Grant Klapwijk,Matthew Cole,,,Thomas Hoffman,Jack coolbaugh,,
Group Stage,Open Pro,Group B,2,Single game,Extra,Incognito,Extra,15,6,,,,,,,,,Emerson Dean,Jé Gagnon,,,Joseph Kaylor,Michael Du,,
Group Stage,Open Pro,Group C,2,Single game,J.A.R.V.I.S.,hotballers,J.A.R.V.I.S.,15,11,,,,,,,,,Josh Fragiacomo,Connor Nelson,,,Tyler Babin,Joshua Hachey,,
Group Stage,Open Pro,Group C,2,Single game,Double Clutch,minus aura,Double Clutch,15,9,,,,,,,,,Rahul Murthy,fredric hinkle,,,Nathan Robertt,Josh Hutko,,
Group Stage,Open Pro,Group D,2,Single game,V⚡️RGA,FTR Frontier,V⚡️RGA,15,11,,,,,,,,,Caleb Cummings,Dawson Morgan,,,Jake Woolley,Kyan Kornfeld,,
Group Stage,Open Pro,Group D,2,Single game,Bot House,Shaytar/Wideman,Shaytar/Wideman,13,15,,,,,,,,,West Peterson,Owen Lippman,,,Justin Shaytar,Nick Wideman,,
