Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team A - Player 5,Team A - Player 6,Team A - Player 7,Team A - Player 8,Team A - Player 9,Team A - Player 10,Team A - Player 11,Team A - Player 12,Team A - Player 13,Team A - Player 14,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4,Team B - Player 5,Team B - Player 6,Team B - Player 7,Team B - Player 8,Team B - Player 9,Team B - Player 10,Team B - Player 11,Team B - Player 12,Team B - Player 13,Team B - Player 14
Group Stage,Men's Individual,Group A (101 - 102),1,Single game,CAN - Dean/Mathieu,MEX - Goar/Canovas,CAN - Dean/Mathieu,21,9,,,,,,,,,Emerson Dean,Vincent Mathieu,,,,,,,,,,,,,Santiago Canovas,Gerardo Goar,,,,,,,,,,,,
Group Stage,Men's Individual,Group A (101 - 102),1,Single game,CZE - Cabala/Nerad,ROU - Cîmpian/Bîrsan,CZE - Cabala/Nerad,21,15,,,,,,,,,Jaroslav Čabala,Kasimir Nerad,,,,,,,,,,,,,Birsan Razvan,Lucian Cimpian,,,,,,,,,,,,
Group Stage,Men's Individual,Group B (103 - 104),1,Single game,USA - Bondi/Finocchi,ROU - Colac/Popa,USA - Bondi/Finocchi,21,7,,,,,,,,,Gabriel Finocchi,Joe Bondi,Gabriel Finocchi,PJ Showalter,,,,,,,,,,,Traian Colac,Madalin Popa,,,,,,,,,,,,
Group Stage,Men's Individual,Group B (103 - 104),1,Single game,AUT - Gangkofner/Mitterwald,ESP - Cuesta/Cuesta,ESP - Cuesta/Cuesta,19,21,,,,,,,,,Johannes Mitterwald,Mathias Gangkofner,,,,,,,,,,,,,Esteban Cuesta,Guillermo Cuesta Fuentes,,,,,,,,,,,,
Group Stage,Men's Individual,Group C (105 - 106),1,Single game,USA - Cole/Klapwijk,LAT - Beļajevs/Eglītis,USA - Cole/Klapwijk,21,4,,,,,,,,,Matthew Cole,Grant Klapwijk,,,,,,,,,,,,,Miks Eglitis,Andris Belajevs,,,,,,,,,,,,
Group Stage,Men's Individual,Group C (105 - 106),1,Single game,SUI - Bürki/Eigenmann,POL - Pętlak/Cichocki,SUI - Bürki/Eigenmann,21,7,,,,,,,,,Jonas Eigenmann,Luc Bürki,,,,,,,,,,,,,Mikołaj Cichocki,Tadeusz Pętlak,,,,,,,,,,,,
Group Stage,Men's Individual,Group D (107 - 108),1,Single game,CAN - Bosak/Cote,BRA - Tiba/Silva,CAN - Bosak/Cote,21,2,,,,,,,,,Blake Bosak,Etienne Cote,,,,,,,,,,,,,Nicolas Tiba,Victor Hugo da Silva,,,,,,,,,,,,
Group Stage,Men's Individual,Group D (107 - 108),1,Single game,GBR - Rowlands/Hutko,NED - Schouten/van Manen,GBR - Rowlands/Hutko,21,16,,,,,,,,,Josh Hutko,David Rowlands,,,,,,,,,,,,,Jarec Schouten,Stan van Manen,,,,,,,,,,,,
Group Stage,Men's Individual,Group E (109 - 110),1,Single game,GER - Eisenträger/Siemer,TWN - Chen/Kao,GER - Eisenträger/Siemer,21,7,,,,,,,,,Paul Siemer,Eisenträger Lukas,,,,,,,,,,,,,Po-Jui Chen,Yu-Heng Kao,,,,,,,,,,,,
Group Stage,Men's Individual,Group E (109 - 110),1,Single game,ITA - Mercadini/Pareschi,ISR - Lurie/Wish,ITA - Mercadini/Pareschi,21,16,,,,,,,,,riccardo mercadini,Mattia Pareschi,,,,,,,,,,,,,Auriel Wish,Guy Lurie,,,,,,,,,,,,
Group Stage,Men's Individual,Group F (111 - 113),1,Single game,USA - Hamilton/Marino,INA - Denny/Genta,USA - Hamilton/Marino,21,4,,,,,,,,,Ryan Marino,Thomas Hamilton,,,,,,,,,,,,,Genta Fajar,Denny Rahmat Ramdhani,,,,,,,,,,,,
Group Stage,Men's Individual,Group F (111 - 113),1,Single game,ESP - Campos/ Forschner,MEX - Rivera/Islas,ESP - Campos/ Forschner,21,11,,,,,,,,,Marcos Campos,Erik Borja Forschner Mitre,,,,,,,,,,,,,Mauricio Rivera,Dante Islas,,,,,,,,,,,,
Group Stage,Men's Individual,Group F (111 - 113),1,Single game,SWE - Ekman/Stenquist,FIN - Kyläinpää/Kyläinpää,SWE - Ekman/Stenquist,21,12,,,,,,,,,Esaja Ekman,Simon Stenquist,,,,,,,,,,,,,Kosti Kyläinpää,Kari Kyläinpää,,,,,,,,,,,,
Group Stage,Men's Individual,Group G (114 - 116),1,Single game,USA - Picone/Nelson,INA - Fairuzzaman/Rudy,USA - Picone/Nelson,21,3,,,,,,,,,Will Picone,Connor Nelson,,,,,,,,,,,,,Rudy Nugraha,Naufal Fairuzzaman,,,,,,,,,,,,
Group Stage,Men's Individual,Group G (114 - 116),1,Single game,ITA - Dudine/Zanellato,BRA - Ítalo/Zancan,ITA - Dudine/Zanellato,21,9,,,,,,,,,Jacopo Dudine,Alessandro Zanellato,,,,,,,,,,,,,Pedro Zancan,Danilo Italo,,,,,,,,,,,,
Group Stage,Men's Individual,Group G (114 - 116),1,Single game,NOR - Aasen/Hanisch,FIN - Youssef/Heikkinen,NOR - Aasen/Hanisch,21,11,,,,,,,,,Halvard Hanisch,Benjamin Aasen,,,,,,,,,,,,,Waltteri Heikkinen,Amir Youssef,,,,,,,,,,,,
Group Stage,Men's Individual,Group H (117 - 119),1,Single game,CAN - Gagnon/Leung,LUX - Clees/Thomé,CAN - Gagnon/Leung,21,7,,,,,,,,,Eddy Leung,Jé Gagnon,,,,,,,,,,,,,Nicolas Thomé,Mike Ries,,,,,,,,,,,,
Group Stage,Men's Individual,Group H (117 - 119),1,Single game,BEL - Vandaele/Poel,COL - Moreno/Ricky,BEL - Vandaele/Poel,21,15,,,,,,,,,Florian Poel,Levi Vandaele,,,,,,,,,,,,,Roundnet Colombia,Ricky Santiago,,,,,,,,,,,,
Group Stage,Men's Individual,Group H (117 - 119),1,Single game,LAT - Jaunpetrovičs/Juška,TWN - Chang/Chou,LAT - Jaunpetrovičs/Juška,21,20,,,,,,,,,Aleksandrs Juška,Mikus Jaunpetrovičs,,,,,,,,,,,,,CHOU PO-JUI,Wade Chang,,,,,,,,,,,,
Group Stage,Men's Individual,Group I (120 - 122),1,Single game,FRA - Clark/Florinda,EGY - Atwan/Saafan,FRA - Clark/Florinda,21,5,,,,,,,,,Auxence Clark,Robin Florinda,,,,,,,,,,,,,Ahmed Saafan,Youssef Atwan,,,,,,,,,,,,
Group Stage,Men's Individual,Group I (120 - 122),1,Single game,AUT - Bachler/Stoisser,JPN - Ishii/Shimizu,JPN - Ishii/Shimizu,19,21,,,,,,,,,Gabriel Stoisser,Benjamin Bachler,,,,,,,,,,,,,Kenzo Ishii,Maharoh Shimizu,,,,,,,,,,,,
Group Stage,Men's Individual,Group I (120 - 122),1,Single game,GBR - Elbourne/Powell,CHI - Herrera/Larroza,GBR - Elbourne/Powell,22,14,,,,,,,,,Archie Powell,Mark Elbourne,,,,,,,,,,,,,Oriel Herrera,Felipe Larroza,,,,,,,,,,,,
Group Stage,Men's Individual,Group J (123 - 125),1,Single game,ITA - Bazzani/Borsotti,EGY - Naim/Nader,ITA - Bazzani/Borsotti,21,2,,,,,,,,,Nicola Bazzani,Andrea Borsotti,,,,,,,,,,,,,karim nader,Karim Naim,,,,,,,,,,,,
Group Stage,Men's Individual,Group J (123 - 125),1,Single game,AUT - Handschmann/Jindra,COL - Maya/Duque,AUT - Handschmann/Jindra,21,12,,,,,,,,,Stefan Handschmann,David Jindra,,,,,,,,,,,,,Bernardo Maya,Jose Duque,,,,,,,,,,,,
Group Stage,Men's Individual,Group J (123 - 125),1,Single game,SWE - Henström/Mjönes,AUS - Geyer/Noble,SWE - Henström/Mjönes,21,20,,,,,,,,,Herman Henström,Samuel Mjönes,,,,,,,,,,,,,Murray Noble,Levi Geyer,,,,,,,,,,,,
Group Stage,Men's Individual,Group K (126 - 128),1,Single game,GER - Christiani/Krehle,LUX - Mertens/Bermes,GER - Christiani/Krehle,21,8,,,,,,,,,Julian Krehle,Lucas Christiani,,,,,,,,,,,,,Pit Bermes,Michel Mertens,,,,,,,,,,,,
Group Stage,Men's Individual,Group K (126 - 128),1,Single game,FRA - Danekas/Hemelryck,JPN - Nakamura/Takei,FRA - Danekas/Hemelryck,21,9,,,,,,,,,Théo Vanh Hemelryck,Ryan DANEKAS,Théo Vanh Hemelryck,,,,,,,,,,,,Yuki Nakamura,Yuya Takei,,,,,,,,,,,,
Group Stage,Men's Individual,Group K (126 - 128),1,Single game,IND - Dass/Dua,CHI - Yañez/Rivera,IND - Dass/Dua,21,14,,,,,,,,,Vibhor Dua,sumer dass,,,,,,,,,,,,,Felipe Rivera,Lucas Yañez,,,,,,,,,,,,
Group Stage,Men's Individual,Group L (129 - 131),1,Single game,CAN - Déry/Kim,HKG - Lui/Yan,CAN - Déry/Kim,21,6,,,,,,,,,Elijah Kim,Thomas Déry,,,,,,,,,,,,,Caleb Yan,Clayton Lui,,,,,,,,,,,,
Group Stage,Men's Individual,Group L (129 - 131),1,Single game,FRA - Caux-Ramon/Lacombe,NOR - Kuehl/Steinsholt,FRA - Caux-Ramon/Lacombe,21,11,,,,,,,,,Samy Caux-Ramon,Hugo Lacombe,,,,,,,,,,,,,Andrew Kuehl,Jørgen Steinsholt,,,,,,,,,,,,
Group Stage,Men's Individual,Group L (129 - 131),1,Single game,POL - Stachiewicz/Łochowski,IRE - O’Gara/Prelich,POL - Stachiewicz/Łochowski,21,18,,,,,,,,,Max Łochowski,Jan Stachiewicz,,,,,,,,,,,,,Connor Prelich,Eoin O'Gara,,,,,,,,,,,,
Group Stage,Men's Individual,Group M (132 - 134),1,Single game,GER - Grönebaum/Prüfer,HKG - Ma/Au,GER - Grönebaum/Prüfer,21,7,,,,,,,,,Rasmus Prüfer,Emil Grönebaum,,,,,,,,,,,,,Chingle Au,Chris Ma,,,,,,,,,,,,
Group Stage,Men's Individual,Group M (132 - 134),1,Single game,DEN - Christensen/Søvndal,ISR - Rotem/Tomer,DEN - Christensen/Søvndal,21,16,,,,,,,,,Kasper Søvndal,Andreas Christensen,,,,,,,,,,,,,rotem kimhi,Tomer Zholkovsky,,,,,,,,,,,,
Group Stage,Men's Individual,Group M (132 - 134),1,Single game,NED - Brus/Brus,BEL - Hublet/Vandamme,BEL - Hublet/Vandamme,19,21,,,,,,,,,Rudo Brus,Jeroen Brus,,,,,,,,,,,,,Gauthier Vandamme,Gilles Hublet,,,,,,,,,,,,
Group Stage,Men's Individual,Group N (135 - 137),1,Single game,GER - Claus/Klement,LTU - Buckiunas/Ignatavicius,GER - Claus/Klement,21,6,,,,,,,,,Tim Klement,Fabian Claus,,,,,,,,,,,,,Rokas Ignatavičius,Gytis Buckiūnas,,,,,,,,,,,,
Group Stage,Men's Individual,Group N (135 - 137),1,Single game,FRA - Améziane/Mareschal,IRE - Duffy/Byrne,FRA - Améziane/Mareschal,21,9,,,,,,,,,Dorian Améziane,Louis Mareschal,,,,,,,,,,,,,Liam Duffy,Sean Byrne,,,,,,,,,,,,
