Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Pro,Group A,1,Single game,SMIGHT,Asylum,SMIGHT,21,13,,,,,Laura Kunzelmann,Nelson Dziruni,David Leidenfrost,Pol Loutsch
Group Stage,Open Pro,Group A,1,Single game,nerds in disguise,RCB - KETODOL,nerds in disguise,21,15,,,,,Stefan Handschmann,David Jindra,Federico Grazi,Luca Tosatti
Group Stage,Open Pro,Group A,1,Single game,Misty Moonshot,Beeks/Hansen,Misty Moonshot,21,18,,,,,Pierre Lecrosnier,Théo Vanh Hemelryck,Scott Beeks,Julius Hansen
Group Stage,Open Pro,Group B,1,Single game,Pour sophie,Too tall for contender,Pour sophie,21,12,,,,,Dorian Améziane,Louis Mareschal,Søren Høy,Hjalte Knudsen
Group Stage,Open Pro,Group B,1,Single game,Night Shift,PP,Night Shift,21,12,,,,,Matteo Molli,Mattia Pareschi,Alex Capp,Jerry Lee
Group Stage,Open Pro,Group B,1,Single game,Serial Chillers,GOTCHA,Serial Chillers,21,19,,,,,Alessandro Zanellato,Jacopo Dudine,Aleksandrs Juška,Jonas Tarnutzer
Group Stage,Open Pro,Group C,1,Single game,Fruity explosion drink,Bracket Thiefs,Fruity explosion drink,21,14,,,,,Levi Vandaele,Jaroslav Čabala,Oussama Tchita,Paul Halphen
Group Stage,Open Pro,Group C,1,Single game,NEM - Bazzani/Borsotti,RBZ Tocco Italiano,NEM - Bazzani/Borsotti,21,14,,,,,Nicola Bazzani,Andrea Borsotti,Matteo Sacchini,Giacomo Merlin
Group Stage,Open Pro,Group A,2,Single game,SMIGHT,RCB - KETODOL,SMIGHT,21,19,,,,,Laura Kunzelmann,Nelson Dziruni,Federico Grazi,Luca Tosatti
Group Stage,Open Pro,Group A,2,Single game,nerds in disguise,Misty Moonshot,Misty Moonshot,12,21,,,,,Stefan Handschmann,David Jindra,Pierre Lecrosnier,Théo Vanh Hemelryck
Group Stage,Open Pro,Group A,2,Single game,Beeks/Hansen,Asylum,Beeks/Hansen,21,18,,,,,Scott Beeks,Julius Hansen,David Leidenfrost,Pol Loutsch
Group Stage,Open Pro,Group B,2,Single game,Pour sophie,PP,Pour sophie,21,19,,,,,Dorian Améziane,Louis Mareschal,Alex Capp,Jerry Lee
Group Stage,Open Pro,Group B,2,Single game,Night Shift,Serial Chillers,Serial Chillers,15,21,,,,,Matteo Molli,Mattia Pareschi,Alessandro Zanellato,Jacopo Dudine
Group Stage,Open Pro,Group B,2,Single game,GOTCHA,Too tall for contender,GOTCHA,21,19,,,,,Aleksandrs Juška,Jonas Tarnutzer,Søren Høy,Hjalte Knudsen
Group Stage,Open Pro,Group C,2,Single game,Fruity explosion drink,RBZ Tocco Italiano,Fruity explosion drink,21,19,,,,,Levi Vandaele,Jaroslav Čabala,Matteo Sacchini,Giacomo Merlin
Group Stage,Open Pro,Group C,2,Single game,Smooth Operators,Bracket Thiefs,Smooth Operators,21,13,,,,,Trevor Cook,David Rowlands,Oussama Tchita,Paul Halphen
Group Stage,Open Pro,Group A,3,Single game,SMIGHT,Beeks/Hansen,Beeks/Hansen,20,21,,,,,Laura Kunzelmann,Nelson Dziruni,Scott Beeks,Julius Hansen
Group Stage,Open Pro,Group A,3,Single game,nerds in disguise,Asylum,nerds in disguise,21,19,,,,,Stefan Handschmann,David Jindra,David Leidenfrost,Pol Loutsch
Group Stage,Open Pro,Group A,3,Single game,Misty Moonshot,RCB - KETODOL,Misty Moonshot,21,12,,,,,Pierre Lecrosnier,Théo Vanh Hemelryck,Federico Grazi,Luca Tosatti
Group Stage,Open Pro,Group B,3,Single game,Pour sophie,GOTCHA,Pour sophie,21,18,,,,,Dorian Améziane,Louis Mareschal,Aleksandrs Juška,Jonas Tarnutzer
Group Stage,Open Pro,Group B,3,Single game,Night Shift,Too tall for contender,Night Shift,21,12,,,,,Matteo Molli,Mattia Pareschi,Søren Høy,Hjalte Knudsen
Group Stage,Open Pro,Group B,3,Single game,Serial Chillers,PP,PP,18,21,,,,,Alessandro Zanellato,Jacopo Dudine,Alex Capp,Jerry Lee
Group Stage,Open Pro,Group C,3,Single game,Fruity explosion drink,Smooth Operators,Fruity explosion drink,21,18,,,,,Levi Vandaele,Jaroslav Čabala,Trevor Cook,David Rowlands
Group Stage,Open Pro,Group C,3,Single game,NEM - Bazzani/Borsotti,Bracket Thiefs,NEM - Bazzani/Borsotti,21,13,,,,,Nicola Bazzani,Andrea Borsotti,Oussama Tchita,Paul Halphen
Group Stage,Open Pro,Group A,4,Single game,SMIGHT,Misty Moonshot,SMIGHT,21,18,,,,,Laura Kunzelmann,Nelson Dziruni,Pierre Lecrosnier,Théo Vanh Hemelryck
Group Stage,Open Pro,Group A,4,Single game,nerds in disguise,Beeks/Hansen,Beeks/Hansen,17,21,,,,,Stefan Handschmann,David Jindra,Scott Beeks,Julius Hansen
Group Stage,Open Pro,Group A,4,Single game,RCB - KETODOL,Asylum,RCB - KETODOL,21,20,,,,,Federico Grazi,Luca Tosatti,David Leidenfrost,Pol Loutsch
Group Stage,Open Pro,Group B,4,Single game,Pour sophie,Serial Chillers,Pour sophie,21,13,,,,,Dorian Améziane,Louis Mareschal,Alessandro Zanellato,Jacopo Dudine
Group Stage,Open Pro,Group B,4,Single game,Night Shift,GOTCHA,Night Shift,21,19,,,,,Matteo Molli,Mattia Pareschi,Aleksandrs Juška,Jonas Tarnutzer
Group Stage,Open Pro,Group B,4,Single game,PP,Too tall for contender,PP,21,18,,,,,Alex Capp,Jerry Lee,Søren Høy,Hjalte Knudsen
Group Stage,Open Pro,Group C,4,Single game,NEM - Bazzani/Borsotti,Smooth Operators,NEM - Bazzani/Borsotti,21,11,,,,,Nicola Bazzani,Andrea Borsotti,Trevor Cook,David Rowlands
Group Stage,Open Pro,Group C,4,Single game,RBZ Tocco Italiano,Bracket Thiefs,RBZ Tocco Italiano,21,14,,,,,Matteo Sacchini,Giacomo Merlin,Oussama Tchita,Paul Halphen
Group Stage,Open Pro,Group A,5,Single game,SMIGHT,nerds in disguise,SMIGHT,21,15,,,,,Laura Kunzelmann,Nelson Dziruni,Stefan Handschmann,David Jindra
Group Stage,Open Pro,Group A,5,Single game,Misty Moonshot,Asylum,Misty Moonshot,21,9,,,,,Pierre Lecrosnier,Théo Vanh Hemelryck,David Leidenfrost,Pol Loutsch
Group Stage,Open Pro,Group A,5,Single game,Beeks/Hansen,RCB - KETODOL,Beeks/Hansen,21,16,,,,,Scott Beeks,Julius Hansen,Federico Grazi,Luca Tosatti
Group Stage,Open Pro,Group B,5,Single game,Pour sophie,Night Shift,Pour sophie,21,15,,,,,Dorian Améziane,Louis Mareschal,Matteo Molli,Mattia Pareschi
Group Stage,Open Pro,Group B,5,Single game,Serial Chillers,Too tall for contender,Serial Chillers,21,15,,,,,Alessandro Zanellato,Jacopo Dudine,Søren Høy,Hjalte Knudsen
