Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,STS Pro,Pool A,1,Single game,Rogue,Guachos,Rogue,21,18,,,,,Thomas Hamilton,Ryan Marino,Josh Fragiacomo,Ryan Oswalt
Pool Play,STS Pro,Pool A,1,Single game,Critical Hit,Bot House,Critical Hit,21,17,,,,,Justin Barr,Vincent Mathieu,Owen Lippman,West Peterson
Pool Play,STS Pro,Pool B,1,Single game,Insystem,The Prince,The Prince,23,25,,,,,Etienne Cote,Blake Bosak,Samuel Prince,Maxime Prince
Pool Play,STS Pro,Pool B,1,Single game,TRP Spotless,Cigar Boys,TRP Spotless,21,11,,,,,Joe Bondi,Ryan Gross,Dan Abrams,Grant Laughlin
Pool Play,STS Pro,Pool C,1,Single game,Bad Combo,Profit Boost,Bad Combo,22,20,,,,,Will Picone,Rahul Murthy,Justin Shaytar,Kieran Rose
Pool Play,STS Pro,Pool C,1,Single game,Judgment Day,Mermaid Sparkle,Judgment Day,21,19,,,,,Gabriel Finocchi,fredric hinkle,Noah Luskus,Christian Bennett
Pool Play,STS Pro,Pool D,1,Single game,Assistive Touch,RCG Powerline,Assistive Touch,25,24,,,,,Clark Marshall,Buddy Hammon,Benjamin Bachler,Nelson Dziruni
Pool Play,STS Pro,Pool D,1,Single game,Eisenträger/Siemer,Kingdom Come,Eisenträger/Siemer,21,17,,,,,Paul Siemer,Eisenträger Lukas,Grant Klapwijk,Matthew Cole
Pool Play,STS Pro,Pool A,2,Single game,Rogue,Bot House,Rogue,21,12,,,,,Thomas Hamilton,Ryan Marino,Owen Lippman,West Peterson
Pool Play,STS Pro,Pool A,2,Single game,Critical Hit,Guachos,Critical Hit,21,11,,,,,Justin Barr,Vincent Mathieu,Josh Fragiacomo,Ryan Oswalt
Pool Play,STS Pro,Pool B,2,Single game,Insystem,Cigar Boys,Insystem,21,18,,,,,Etienne Cote,Blake Bosak,Dan Abrams,Grant Laughlin
Pool Play,STS Pro,Pool B,2,Single game,TRP Spotless,The Prince,TRP Spotless,21,15,,,,,Joe Bondi,Ryan Gross,Samuel Prince,Maxime Prince
Pool Play,STS Pro,Pool C,2,Single game,Bad Combo,Mermaid Sparkle,Bad Combo,21,16,,,,,Will Picone,Rahul Murthy,Noah Luskus,Christian Bennett
Pool Play,STS Pro,Pool C,2,Single game,Judgment Day,Profit Boost,Profit Boost,24,25,,,,,Gabriel Finocchi,fredric hinkle,Justin Shaytar,Kieran Rose
Pool Play,STS Pro,Pool D,2,Single game,Assistive Touch,Kingdom Come,Assistive Touch,25,23,,,,,Clark Marshall,Buddy Hammon,Grant Klapwijk,Matthew Cole
Pool Play,STS Pro,Pool D,2,Single game,Eisenträger/Siemer,RCG Powerline,Eisenträger/Siemer,21,18,,,,,Paul Siemer,Eisenträger Lukas,Benjamin Bachler,Nelson Dziruni
Pool Play,STS Pro,Pool A,3,Single game,Rogue,Critical Hit,Rogue,21,16,,,,,Thomas Hamilton,Ryan Marino,Justin Barr,Vincent Mathieu
Pool Play,STS Pro,Pool A,3,Single game,Bot House,Guachos,Guachos,17,21,,,,,Owen Lippman,West Peterson,Josh Fragiacomo,Ryan Oswalt
Pool Play,STS Pro,Pool B,3,Single game,Insystem,TRP Spotless,TRP Spotless,12,21,,,,,Etienne Cote,Blake Bosak,Joe Bondi,Ryan Gross
Pool Play,STS Pro,Pool B,3,Single game,Cigar Boys,The Prince,The Prince,18,21,,,,,Dan Abrams,Grant Laughlin,Samuel Prince,Maxime Prince
Pool Play,STS Pro,Pool C,3,Single game,Bad Combo,Judgment Day,Bad Combo,21,17,,,,,Will Picone,Rahul Murthy,Gabriel Finocchi,fredric hinkle
Pool Play,STS Pro,Pool C,3,Single game,Mermaid Sparkle,Profit Boost,Profit Boost,14,21,,,,,Noah Luskus,Christian Bennett,Justin Shaytar,Kieran Rose
Pool Play,STS Pro,Pool D,3,Single game,Assistive Touch,Eisenträger/Siemer,Eisenträger/Siemer,22,24,,,,,Clark Marshall,Buddy Hammon,Paul Siemer,Eisenträger Lukas
Pool Play,STS Pro,Pool D,3,Single game,Kingdom Come,RCG Powerline,Kingdom Come,21,7,,,,,Grant Klapwijk,Matthew Cole,Benjamin Bachler,Nelson Dziruni
Pool Play,STS Pro,Pool A,4,Single game,Rogue,Guachos,Rogue,23,21,,,,,Thomas Hamilton,Ryan Marino,Josh Fragiacomo,Ryan Oswalt
Pool Play,STS Pro,Pool A,4,Single game,Critical Hit,Bot House,Bot House,24,25,,,,,Justin Barr,Vincent Mathieu,Owen Lippman,West Peterson
Pool Play,STS Pro,Pool B,4,Single game,Insystem,The Prince,Insystem,21,9,,,,,Etienne Cote,Blake Bosak,Samuel Prince,Maxime Prince
Pool Play,STS Pro,Pool B,4,Single game,TRP Spotless,Cigar Boys,Cigar Boys,20,22,,,,,Joe Bondi,Ryan Gross,Dan Abrams,Grant Laughlin
Pool Play,STS Pro,Pool C,4,Single game,Bad Combo,Profit Boost,Bad Combo,21,15,,,,,Will Picone,Rahul Murthy,Justin Shaytar,Kieran Rose
Pool Play,STS Pro,Pool C,4,Single game,Judgment Day,Mermaid Sparkle,Judgment Day,21,19,,,,,Gabriel Finocchi,fredric hinkle,Noah Luskus,Christian Bennett
Pool Play,STS Pro,Pool D,4,Single game,Assistive Touch,RCG Powerline,Assistive Touch,25,23,,,,,Clark Marshall,Buddy Hammon,Benjamin Bachler,Nelson Dziruni
Pool Play,STS Pro,Pool D,4,Single game,Eisenträger/Siemer,Kingdom Come,Kingdom Come,20,22,,,,,Paul Siemer,Eisenträger Lukas,Grant Klapwijk,Matthew Cole
Pool Play,STS Pro,Pool A,5,Single game,Rogue,Bot House,Bot House,19,21,,,,,Thomas Hamilton,Ryan Marino,Owen Lippman,West Peterson
Pool Play,STS Pro,Pool A,5,Single game,Critical Hit,Guachos,Critical Hit,21,17,,,,,Justin Barr,Vincent Mathieu,Josh Fragiacomo,Ryan Oswalt
Pool Play,STS Pro,Pool B,5,Single game,Insystem,Cigar Boys,Insystem,21,18,,,,,Etienne Cote,Blake Bosak,Dan Abrams,Grant Laughlin
Pool Play,STS Pro,Pool B,5,Single game,TRP Spotless,The Prince,TRP Spotless,21,14,,,,,Joe Bondi,Ryan Gross,Samuel Prince,Maxime Prince
Pool Play,STS Pro,Pool C,5,Single game,Bad Combo,Mermaid Sparkle,Bad Combo,21,17,,,,,Will Picone,Rahul Murthy,Noah Luskus,Christian Bennett
Pool Play,STS Pro,Pool C,5,Single game,Judgment Day,Profit Boost,Judgment Day,21,13,,,,,Gabriel Finocchi,fredric hinkle,Justin Shaytar,Kieran Rose
Pool Play,STS Pro,Pool D,5,Single game,Assistive Touch,Kingdom Come,Assistive Touch,21,19,,,,,Clark Marshall,Buddy Hammon,Grant Klapwijk,Matthew Cole
Pool Play,STS Pro,Pool D,5,Single game,Eisenträger/Siemer,RCG Powerline,Eisenträger/Siemer,23,21,,,,,Paul Siemer,Eisenträger Lukas,Benjamin Bachler,Nelson Dziruni
Pool Play,STS Pro,Pool A,6,Single game,Rogue,Critical Hit,Rogue,21,19,,,,,Thomas Hamilton,Ryan Marino,Justin Barr,Vincent Mathieu
Pool Play,STS Pro,Pool A,6,Single game,Bot House,Guachos,Bot House,21,15,,,,,Owen Lippman,West Peterson,Josh Fragiacomo,Ryan Oswalt
Pool Play,STS Pro,Pool B,6,Single game,Insystem,TRP Spotless,Insystem,24,22,,,,,Etienne Cote,Blake Bosak,Joe Bondi,Ryan Gross
Pool Play,STS Pro,Pool B,6,Single game,Cigar Boys,The Prince,Cigar Boys,21,18,,,,,Dan Abrams,Grant Laughlin,Samuel Prince,Maxime Prince
Pool Play,STS Pro,Pool C,6,Single game,Bad Combo,Judgment Day,Judgment Day,20,22,,,,,Will Picone,Rahul Murthy,Gabriel Finocchi,fredric hinkle
Pool Play,STS Pro,Pool C,6,Single game,Mermaid Sparkle,Profit Boost,Mermaid Sparkle,21,16,,,,,Noah Luskus,Christian Bennett,Justin Shaytar,Kieran Rose
Pool Play,STS Pro,Pool D,6,Single game,Assistive Touch,Eisenträger/Siemer,Assistive Touch,22,20,,,,,Clark Marshall,Buddy Hammon,Paul Siemer,Eisenträger Lukas
Pool Play,STS Pro,Pool D,6,Single game,Kingdom Come,RCG Powerline,Kingdom Come,21,15,,,,,Grant Klapwijk,Matthew Cole,Benjamin Bachler,Nelson Dziruni
Bracket Play,STS Pro,STS Pro Bracket,Round of 16,Best of 3,Rogue,Mermaid Sparkle,Rogue,21,11,21,17,,,Thomas Hamilton,Ryan Marino,Noah Luskus,Christian Bennett
Bracket Play,STS Pro,STS Pro Bracket,Round of 16,Best of 3,TRP Spotless,RCG Powerline,TRP Spotless,21,13,21,17,,,Joe Bondi,Ryan Gross,Benjamin Bachler,Nelson Dziruni
Bracket Play,STS Pro,STS Pro Bracket,Round of 16,Best of 3,Bad Combo,The Prince,Bad Combo,21,14,17,21,21,14,Will Picone,Rahul Murthy,Samuel Prince,Maxime Prince
Bracket Play,STS Pro,STS Pro Bracket,Round of 16,Best of 3,Assistive Touch,Guachos,Assistive Touch,19,21,21,16,21,19,Clark Marshall,Buddy Hammon,Josh Fragiacomo,Ryan Oswalt
Bracket Play,STS Pro,STS Pro Bracket,Round of 16,Best of 3,Judgment Day,Cigar Boys,Judgment Day,21,19,21,18,,,Gabriel Finocchi,fredric hinkle,Dan Abrams,Grant Laughlin
Bracket Play,STS Pro,STS Pro Bracket,Round of 16,Best of 3,Eisenträger/Siemer,Bot House,Bot House,15,21,21,15,11,21,Paul Siemer,Eisenträger Lukas,Owen Lippman,West Peterson
Bracket Play,STS Pro,STS Pro Bracket,Round of 16,Best of 3,Critical Hit,Profit Boost,Critical Hit,20,22,21,14,21,17,Justin Barr,Vincent Mathieu,Justin Shaytar,Kieran Rose
Bracket Play,STS Pro,STS Pro Bracket,Round of 16,Best of 3,Insystem,Kingdom Come,Kingdom Come,13,21,11,21,,,Etienne Cote,Blake Bosak,Grant Klapwijk,Matthew Cole
Bracket Play,STS Pro,STS Pro Bracket,Quarter-final,Best of 3,Rogue,Kingdom Come,Kingdom Come,21,19,14,21,11,21,Thomas Hamilton,Ryan Marino,Grant Klapwijk,Matthew Cole
Bracket Play,STS Pro,STS Pro Bracket,Quarter-final,Best of 3,TRP Spotless,Critical Hit,Critical Hit,19,21,21,16,19,21,Joe Bondi,Ryan Gross,Justin Barr,Vincent Mathieu
Bracket Play,STS Pro,STS Pro Bracket,Quarter-final,Best of 3,Bad Combo,Bot House,Bad Combo,21,15,21,19,,,Will Picone,Rahul Murthy,Owen Lippman,West Peterson
Bracket Play,STS Pro,STS Pro Bracket,Quarter-final,Best of 3,Assistive Touch,Judgment Day,Judgment Day,12,21,21,19,19,21,Clark Marshall,Buddy Hammon,Gabriel Finocchi,fredric hinkle
Bracket Play,STS Pro,STS Pro Bracket,P9: Quarter-final,Best of 3,Insystem,Mermaid Sparkle,Mermaid Sparkle,9,21,21,14,33,35,Etienne Cote,Blake Bosak,Noah Luskus,Christian Bennett
Bracket Play,STS Pro,STS Pro Bracket,P9: Quarter-final,Best of 3,Profit Boost,RCG Powerline,Profit Boost,15,9,15,9,,,Justin Shaytar,Kieran Rose,Benjamin Bachler,Nelson Dziruni
Bracket Play,STS Pro,STS Pro Bracket,P9: Quarter-final,Best of 3,Cigar Boys,Guachos,Cigar Boys,1,0,1,0,,,Dan Abrams,Grant Laughlin,Josh Fragiacomo,Ryan Oswalt
Bracket Play,STS Pro,STS Pro Bracket,Semi-final,Best of 3,Kingdom Come,Judgment Day,Kingdom Come,21,18,18,21,21,15,Grant Klapwijk,Matthew Cole,Gabriel Finocchi,fredric hinkle
Bracket Play,STS Pro,STS Pro Bracket,Semi-final,Best of 3,Critical Hit,Bad Combo,Critical Hit,21,19,16,21,21,14,Justin Barr,Vincent Mathieu,Will Picone,Rahul Murthy
Bracket Play,STS Pro,STS Pro Bracket,P9: Semi-final,Best of 3,Profit Boost,The Prince,The Prince,12,15,20,18,12,15,Justin Shaytar,Kieran Rose,Samuel Prince,Maxime Prince
Bracket Play,STS Pro,STS Pro Bracket,Final,Best of 3,Kingdom Come,Critical Hit,Kingdom Come,21,18,21,12,,,Grant Klapwijk,Matthew Cole,Justin Barr,Vincent Mathieu
Bracket Play,STS Pro,STS Pro Bracket,P3: Final,Best of 3,Bad Combo,Judgment Day,Bad Combo,21,16,21,18,,,Will Picone,Rahul Murthy,Gabriel Finocchi,fredric hinkle
Pool Play,Women's Pro,Pool A,1,Single game,TWINZ,Veggie Tales,TWINZ,21,12,,,,,Ali Jenki,Olivia Jenki,Shachi Patel,Allie Foster
Pool Play,Women's Pro,Pool A,1,Single game,No Hype,Space Monkeys 🚀🐒,Space Monkeys 🚀🐒,24,25,,,,,Maddy Morehouse,Malia Sato,Rafaela Bastos,Stef Ding
Pool Play,Women's Pro,Pool B,1,Single game,towerful,Loopy Juice,towerful,21,2,,,,,Laura Kunzelmann,Ronja Lorenz,Lourna Szabanos,Kate B
Pool Play,Women's Pro,Pool B,1,Single game,Royalty,BIG BEAVERS,Royalty,21,8,,,,,Katie Pierson,Laurence Vallée,Jaime Cunningham,Shonda Couroux
Pool Play,Women's Pro,Pool C,1,Single game,tiramisu,Outside Voices,tiramisu,21,9,,,,,Daniela Kadlec,Megan Leybourne,Sebastiani Kim,Perrin York
Pool Play,Women's Pro,Pool C,1,Single game,2k•,angst,2k•,21,17,,,,,Karah Hui,Kayla Wu,Kalin Morgan,Sarah Allen
Pool Play,Women's Pro,Pool A,2,Single game,TWINZ,Space Monkeys 🚀🐒,TWINZ,21,19,,,,,Ali Jenki,Olivia Jenki,Rafaela Bastos,Stef Ding
Pool Play,Women's Pro,Pool A,2,Single game,No Hype,Veggie Tales,Veggie Tales,12,21,,,,,Maddy Morehouse,Malia Sato,Shachi Patel,Allie Foster
Pool Play,Women's Pro,Pool B,2,Single game,towerful,BIG BEAVERS,towerful,21,15,,,,,Laura Kunzelmann,Ronja Lorenz,Jaime Cunningham,Shonda Couroux
Pool Play,Women's Pro,Pool B,2,Single game,Royalty,Loopy Juice,Royalty,21,6,,,,,Katie Pierson,Laurence Vallée,Lourna Szabanos,Kate B
Pool Play,Women's Pro,Pool C,2,Single game,tiramisu,angst,tiramisu,22,20,,,,,Daniela Kadlec,Megan Leybourne,Kalin Morgan,Sarah Allen
Pool Play,Women's Pro,Pool C,2,Single game,2k•,Outside Voices,2k•,21,13,,,,,Karah Hui,Kayla Wu,Sebastiani Kim,Perrin York
Pool Play,Women's Pro,Pool A,3,Single game,TWINZ,No Hype,TWINZ,21,15,,,,,Ali Jenki,Olivia Jenki,Maddy Morehouse,Malia Sato
Pool Play,Women's Pro,Pool A,3,Single game,Space Monkeys 🚀🐒,Veggie Tales,Veggie Tales,13,21,,,,,Rafaela Bastos,Stef Ding,Shachi Patel,Allie Foster
Pool Play,Women's Pro,Pool B,3,Single game,towerful,Royalty,towerful,21,18,,,,,Laura Kunzelmann,Ronja Lorenz,Katie Pierson,Laurence Vallée
