Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Pro German,Group A,1,Single game,Sweet Nothings,LL Mosh,LL Mosh,17,21,,,,,Brendan Ferreira,Noah Luskus,Josh DiDonato,Mike Garrett
Group Stage,Pro German,Group A,1,Single game,Dad and Sun,True,Dad and Sun,21,17,,,,,Sunny Gu,Dennis Joseph,Artie Singer,Jack coolbaugh
Group Stage,Pro German,Group B,1,Single game,RVA Spike,LL Rookies,RVA Spike,21,8,,,,,Will Picone,Brayden Latham,Rafi Moldovsky,Ryan Paul
Group Stage,Pro German,Group B,1,Single game,Pruett/Bingham,We Serve,We Serve,19,21,,,,,Lucas Pruett,Jared Bingham,Tyler Cisek,Desmond Benton
Group Stage,Pro German,Group C,1,Single game,Lazy Bots,Jake & Charles,Lazy Bots,21,15,,,,,Owen Lippman,Cade Larson,Charles Mordacq,Jake Mottershead
Group Stage,Pro German,Group C,1,Single game,Project Roundnet,Dummy wide son,Project Roundnet,21,15,,,,,Samuel Corey,Josh Esposo,A.j. Martin,Thomas Hoffman
Group Stage,Pro German,Group D,1,Single game,M. Model / R. Santiago,Goodnow/Ulrich,M. Model / R. Santiago,21,17,,,,,Max Model,Ricky Santiago,Brody Ulrich,Jake Goodnow
Group Stage,Pro German,Group D,1,Single game,Guachos,Pocket Rockets,Guachos,21,14,,,,,Josh Fragiacomo,Ryan Oswalt,Donald Fung,Nick Mesa
Group Stage,Pro German,Group E,1,Single game,Fernandez/Kornfeld,Rowland’Sweeney,Fernandez/Kornfeld,21,13,,,,,Kyan Kornfeld,Tyler Fernandez,Stephen Sweeney,David Rowlands
Group Stage,Pro German,Group E,1,Single game,Jersey Boyz,White Lotus Roundnet,Jersey Boyz,21,18,,,,,Matt Spolarich,Corey Weiss,Ely Marciano,Mitchell Carter
Group Stage,Pro German,Group E,1,Single game,Endurance,PBR ELBROS,Endurance,21,15,,,,,Maxwell Gunneson,Danny Gologorsky,Michael Capobianco,Joel Morrell
Group Stage,Pro German,Group A,2,Single game,Sweet Nothings,True,Sweet Nothings,21,12,,,,,Brendan Ferreira,Noah Luskus,Artie Singer,Jack coolbaugh
Group Stage,Pro German,Group A,2,Single game,Pickle Juice,LL Mosh,LL Mosh,15,21,,,,,Josh Hutko,Sam Mccune,Josh DiDonato,Mike Garrett
Group Stage,Pro German,Group B,2,Single game,RVA Spike,We Serve,RVA Spike,21,12,,,,,Will Picone,Brayden Latham,Tyler Cisek,Desmond Benton
Group Stage,Pro German,Group B,2,Single game,Free On Mach,LL Rookies,Free On Mach,21,13,,,,,Pat Marinich,Demitri Forand,Rafi Moldovsky,Ryan Paul
Group Stage,Pro German,Group C,2,Single game,Lazy Bots,Dummy wide son,Lazy Bots,21,14,,,,,Owen Lippman,Cade Larson,A.j. Martin,Thomas Hoffman
Group Stage,Pro German,Group C,2,Single game,Driver’s License,Jake & Charles,Driver’s License,25,24,,,,,Charles Tipton,Alex Daly,Charles Mordacq,Jake Mottershead
Group Stage,Pro German,Group D,2,Single game,M. Model / R. Santiago,Pocket Rockets,M. Model / R. Santiago,21,12,,,,,Max Model,Ricky Santiago,Donald Fung,Nick Mesa
Group Stage,Pro German,Group D,2,Single game,PBR Pickle Boys,Goodnow/Ulrich,PBR Pickle Boys,21,13,,,,,Jacob Arzaga,Brian Perlson,Brody Ulrich,Jake Goodnow
